Summary_Sentence,Country_A,Country_B,Country_Pair
Both countries are full members of the Council of Europe and the Organization for Security and Co-operation in Europe.,Portugal,Russia,Portugal_Russia
"China–Mongolia relations, or Sino-Mongolian relations, refer to the bilateral relations between Mongolia and the People's Republic of China.",China,Mongolia,China_Mongolia
"These relations have long been determined by the relations between China and the Soviet Union, Mongolia's other neighbour and main ally until 1990.",China,Mongolia,China_Mongolia
"With the rapprochement between the USSR and China in the late 1980s, Sino-Mongolian relations also began to improve.",China,Mongolia,China_Mongolia
"Since the 1990s, China has become Mongolia's biggest trading partner, and a number of Chinese businesses are operating in Mongolia.",China,Mongolia,China_Mongolia
Malawi and Israel established diplomatic relations with each other in July 1964 and have continued relations since.,Israel,Malawi,Israel_Malawi
"Both nations are members of the Association of Caribbean States, Community of Latin American and Caribbean States, Latin American Integration Association, Organization of American States, Organization of Ibero-American States and the United Nations.",Cuba,Mexico,Cuba_Mexico
Philippines–United States relations (Filipino/Tagalog: Ugnayang Pilipinas – Estados Unidos; Baybayin:ᜂᜄ᜔ᜈᜌᜅ᜔ ᜉᜒᜎᜒᜉᜒᜈᜐ᜔-ᜁᜐ᜔ᜆᜇ᜔oᜐ᜔ ᜂᜈᜒᜇ᜔oᜐ᜔) are bilateral relations between the Republic of the Philippines and the United States of America.,Philippines,United States,Philippines_United States
The relationship between the United States and the Philippines has historically been strong and has been described as a Special Relationship.,Philippines,United States,Philippines_United States
"The current Philippine president Rodrigo Duterte, however, is supportive of a foreign policy that is less dependent on the United States, favoring one that prioritizes closer relations with China and Russia, although the Philippines and the U.S. have a mutual defense treaty dating from 1951 and as of 2019 are actively working on implementation of an enhanced defense cooperation agreement concluded in 2014.",Philippines,United States,Philippines_United States
The Philippines is one of the oldest Asian partners of the U.S. and a strategically major non-NATO ally.,Philippines,United States,Philippines_United States
"The United States was consistently ranked as one of the Philippines' favorite nations in the world, with 90% of Filipinos viewing the U.S. and 91% viewing Americans favorably in 2002, 90% of Filipinos viewing U.S. influence positively in 2011, 85% of Filipinos viewing the U.S. and Americans favorably in 2013, and 92% of Filipinos viewing the U.S. favorably in 2015, and 94% having confidence in former United States president Barack Obama, making the Philippines the most pro-American country in the world.",Philippines,United States,Philippines_United States
"This article discusses Philippine–American relations after Philippine independence from the United States in 1946, while the article History of the Philippines (1898–1946) describes the history of the Philippines during American colonial rule.",Philippines,United States,Philippines_United States
France was the first ally of the new United States.,France,United States,France_United States
The 1778 treaty and military support proved decisive in the American victory over Britain in the American Revolutionary War.,France,United States,France_United States
" France fared poorly, with few gains and heavy debts, which were contributing causes of France's own revolution and eventual transition to a Republic.",France,United States,France_United States
"The American relationship with France has been peaceful except for the Quasi War in 1798-99, and fighting against Vichy France (while supporting Free France) during World War II.",France,United States,France_United States
 The relationship had always been important for both nations.,France,United States,France_United States
"In the 21st Century, differences over the Iraq War led each country to have lowered favorability ratings of the other.",France,United States,France_United States
" However, since then, relations have improved, with American favorable ratings of France reaching a historic high of 87% in 2016.",France,United States,France_United States
"Gallup concluded, ""After diplomatic differences in 2003 soured relations between the two countries, France and the U.S. have found a common interest in combating international terrorism, and the mission has become personal for both countries.""",France,United States,France_United States
Trinidad and Tobago has an Embassy in Caracas and Venezuela has an embassy in Port of Spain.,Trinidad and Tobago,Venezuela,Trinidad and Tobago_Venezuela
"Kuwait  has a close and friendly relations, but not always free of tensions, with Iran.",Iran,Kuwait,Iran_Kuwait
"While Kuwait describes its relations with Iran as ""excellent and historical"", two countries nonetheless have significant differences.",Iran,Kuwait,Iran_Kuwait
"Kuwait is close to Saudi Arabia, Iran's rival, and Kuwait has been critical of Iranian influence in the Middle East.",Iran,Kuwait,Iran_Kuwait
Kuwait sided with Iraq in the 1980-88 Iran-Iraq War.,Iran,Kuwait,Iran_Kuwait
"According to a declassified 1987 CIA document, Kuwait and Iran were on a ""collision course"".",Iran,Kuwait,Iran_Kuwait
"The document attributes deteriorating relations between the two countries to an increase in Iranian attacks on Kuwaiti-bound ships, as well as Kuwaiti support during the Iran-Iraq war.",Iran,Kuwait,Iran_Kuwait
"The two countries have historically been opposed when oil pricing disputes arose amongst OPEC members, with Kuwait traditionally being a supporter of a more moderate posted price and Iran generally advocating for more significant price increases.",Iran,Kuwait,Iran_Kuwait
"Kuwait has opposed increasing Iranian influence in Iraq, Syria and Lebanon.",Iran,Kuwait,Iran_Kuwait
"In 2017, Kuwait ordered the expulsion of several Iranian diplomats, including the Iranian ambassador, after 23 men were convicted of spying for Hezbollah.",Iran,Kuwait,Iran_Kuwait
"Despite these concerns, Kuwait's relations with Iran are relatively warm and it declined to follow Saudi Arabia's lead in severing diplomatic relations following the 2016 attack on the Saudi diplomatic missions in Iran.",Iran,Kuwait,Iran_Kuwait
Kuwait is the only Gulf State that has maintained formal ties with Iran after US President Donald Trump announced withdrawal from the Iran nuclear deal.,Iran,Kuwait,Iran_Kuwait
"Saudi Arabia, Bahrain and the UAE voiced strong support for the withdrawal, which Kuwait did not join.",Iran,Kuwait,Iran_Kuwait
"Kuwait's plans for regional development, including the ""Silk City project"" that aims to develop the Kuwaiti Islands, includes developing mutually beneficial economic ties with Iran.",Iran,Kuwait,Iran_Kuwait
"Ireland–United Kingdom relations, also referred to as Irish–British relations, or Anglo-Irish relations, are the relations between the states of Ireland and the United Kingdom.",Ireland,United Kingdom,Ireland_United Kingdom
"The three devolved administrations of the United Kingdom, in Scotland, Wales and Northern Ireland, and the three dependencies of the British Crown, the Isle of Man, Jersey and Guernsey, also participate in multilateral bodies created between the two states.",Ireland,United Kingdom,Ireland_United Kingdom
"Since at least the 1600s, all of these areas have been connected politically, reaching a height in 1801 with the creation of the United Kingdom of Great Britain and Ireland.",Ireland,United Kingdom,Ireland_United Kingdom
About five-sixths of the island of Ireland seceded from the United Kingdom in 1921 as the Irish Free State.,Ireland,United Kingdom,Ireland_United Kingdom
"Historically, relations between the two states have been influenced heavily by issues arising from their shared (and frequently troubled) history, the independence of the Irish Free State and the governance of Northern Ireland.",Ireland,United Kingdom,Ireland_United Kingdom
"These include the partition of Ireland and the terms of Ireland's secession, its constitutional relationship with and obligations to the UK after independence, and the outbreak of political violence in Northern Ireland.",Ireland,United Kingdom,Ireland_United Kingdom
"Additionally, the high level of trade between the two states, their proximate geographic location, their common status as islands in the European Union, common language and close cultural and personal links mean political developments in both states often closely follow each other.",Ireland,United Kingdom,Ireland_United Kingdom
"Today, Irish and British citizens are accorded equivalent reciprocal rights and entitlements (with a small number of minor exceptions) and a Common Travel Area exists between Ireland, United Kingdom, and the Crown Dependencies.",Ireland,United Kingdom,Ireland_United Kingdom
"The British–Irish Intergovernmental Conference acts as an official forum for co-operation between the Government of Ireland and the Government of the United Kingdom on matters of mutual interest generally, and with respect to Northern Ireland in particular.",Ireland,United Kingdom,Ireland_United Kingdom
"Two other bodies, the British–Irish Council and the British–Irish Parliamentary Assembly act as a forum for discussion between the executives and assemblies, respectively, of the region, including the devolved regions in the UK and the three Crown dependencies.",Ireland,United Kingdom,Ireland_United Kingdom
"Co-operation between Northern Ireland and Ireland, including the execution of common policies in certain areas, occurs through the North/South Ministerial Council.",Ireland,United Kingdom,Ireland_United Kingdom
"In 2014, the UK Prime Minister David Cameron, and the Irish Taoiseach Enda Kenny described the relationship between the two countries as being at 'an all time high'.",Ireland,United Kingdom,Ireland_United Kingdom
Both Ireland and the United Kingdom joined the European Union (then the European Communities) in 1973.,Ireland,United Kingdom,Ireland_United Kingdom
"However, the three Crown dependencies remain outside of the EU.",Ireland,United Kingdom,Ireland_United Kingdom
"In June 2016, the United Kingdom held a referendum in which the majority voted to leave the European Union, but the majority of voters in Northern Ireland voted for remaining in the EU.",Ireland,United Kingdom,Ireland_United Kingdom
"Spain–United Kingdom relations, also called Spanish-British relations, are the bilateral international relations between Spain and United Kingdom.",Spain,United Kingdom,Spain_United Kingdom
Guinea-Bissau–Spain relations are the bilateral and diplomatic relations between these two countries.,Guinea-Bissau,Spain,Guinea-Bissau_Spain
Guinea-Bissau has an embassy in Madrid and two consulates in Barcelona and Bilbao.,Guinea-Bissau,Spain,Guinea-Bissau_Spain
Spain has an embassy in Bissau.,Guinea-Bissau,Spain,Guinea-Bissau_Spain
Ukraine (then known as the Ukrainian SSR) recognized Bangladesh's independence on 24 January 1972.,Bangladesh,Ukraine,Bangladesh_Ukraine
Ahmed Akbar Sobhan chairman of Bashundhara Group is the Honorary Consul General of Ukraine in Bangladesh.,Bangladesh,Ukraine,Bangladesh_Ukraine
"Diplomatic relations between the People's Republic of China and Antigua and Barbuda were established on January 1, 1983, less than two years after the Caribbean nation's independence, under Deng Xiaoping and Prime Minister Vere Bird, respectively.",Antigua and Barbuda,China,Antigua and Barbuda_China
"Diplomatic relations between the two countries have been smooth since then, as China supported Antigua and Barbuda's bid to join the United Nations.",Antigua and Barbuda,China,Antigua and Barbuda_China
"As of 2002, Chinese exports to Antigua and Barbuda were valued at $1,885,050 while China imported $1,064,950 worth of goods.",Antigua and Barbuda,China,Antigua and Barbuda_China
"The current Chinese ambassador to Antigua and Barbuda is Chen Ligang, appointed in 2007, and his counterpart is Ambassador David Shoul.",Antigua and Barbuda,China,Antigua and Barbuda_China
"The relations have generally been positive, although concerns over the pace of political and economic liberalization and human rights have affected the degree of support provided by the United States to the Central African Republic.",Central African Republic,United States,Central African Republic_United States
Romania has an embassy in Moscow and consulates-general in Rostov-on-Don and Saint Petersburg.,Romania,Russia,Romania_Russia
Russia has an embassy in Bucharest and a consulate-general in Constanţa.,Romania,Russia,Romania_Russia
"Historical relations have oscillated among grudging cooperation, neutrality, open hatred and hostility.",Romania,Russia,Romania_Russia
Both countries refused to recognize Kosovo's declaration of independence from Serbia and strongly supported its territorial integrity.,Romania,Russia,Romania_Russia
"About 30,000 Russians live in Romania, mainly in the Tulcea County (see Lipovans).",Romania,Russia,Romania_Russia
"About 5,308 Romanians live in Russia, mainly in the Russian Far East.",Romania,Russia,Romania_Russia
Both countries are full members of the Council of Europe and the Organization for Security and Co-operation in Europe.,Romania,Russia,Romania_Russia
"In 1992 and 1993, relations between the two were especially strained when they backed opposite sides in the Transnistria conflict.",Romania,Russia,Romania_Russia
"Romania is part of NATO, which Russia views in a highly negative light.",Romania,Russia,Romania_Russia
Debates over the status of Transnistria maintain antagonism between Romanians and Russians.,Romania,Russia,Romania_Russia
"Furthermore, according to The Balkans: Nationalism, War, and the Great Powers, 1804-1999 by Misha Glenny, dislike of Russia and Russians is deeply integrated into Romanian culture since the end of the 19th century due to chronic quarrels between the two countries, and has been for most of the modern era.",Romania,Russia,Romania_Russia
"Russian opinion on Romania is highly mixed and varied according to the geo-political considerations at one given time, ranging from predominantly indifference, sometimes to slight esteem, at times deep frustration and even profound disconsideration.",Romania,Russia,Romania_Russia
"As Romania most often does not infringe on Russia's sensibilities as a great opportunity or menace, the general Russian opinion is of triviliality; Romania barely exists to the Russian mind for an opinion to form.",Romania,Russia,Romania_Russia
"The slight esteem derived from common grounds reached between the two sides at various times, a common Christian Orthodox faith and some common cultural values.",Romania,Russia,Romania_Russia
Deep frustration and even profound disconsideration remained nevertheless the predominant Russian reaction when both sides were locked into geopolitical struggles.,Romania,Russia,Romania_Russia
As one primary Russian geopolitical objective has been expansion of its influence into the Balkan Peninsula the two sides became more often adversaries than partners.,Romania,Russia,Romania_Russia
Bilateral relations between Cambodia and Thailand date to the 13th century during the Angkor Era.,Cambodia,Thailand,Cambodia_Thailand
"The Thai Ayutthaya Kingdom gradually displaced the declining Khmer Empire from the 14th century, importing much of its customs and culture.",Cambodia,Thailand,Cambodia_Thailand
"French protectorateship separated Cambodia from modern Thailand at the turn of the 19th–20th centuries, and diplomatic relations between the modern states were established on 19 December 1950.",Cambodia,Thailand,Cambodia_Thailand
Relations between the two countries remain complicated.,Cambodia,Thailand,Cambodia_Thailand
"Incomplete demarcation of their boundaries has led to a protracted border conflict, most notably over the temple of Preah Vihear, which was brought to the International Court of Justice in 1962 but still saw military clashes emerge in 2008 and 2011.",Cambodia,Thailand,Cambodia_Thailand
"Cambodia's internal conflicts throughout the 1970s to 1980s often spilled over into Thailand, which received refugees but also gave indirect support to the Khmer Rouge.",Cambodia,Thailand,Cambodia_Thailand
"Thailand now dominates over its poorer neighbour economically, and is the sixth largest investor in Cambodia.",Cambodia,Thailand,Cambodia_Thailand
"Though relations are largely peaceful, the countries' peoples still bear a degree of enmity, which has erupted into violence when stoked by nationalist sentiments.",Cambodia,Thailand,Cambodia_Thailand
"Such episodes include a mob attack on the Thai Embassy in Phnom Penh in 2003, which prompted a downgrading of relations by Thailand.",Cambodia,Thailand,Cambodia_Thailand
"Thailand also downgraded relations in 2009 in response to the Cambodian government's support of former Thai Prime Minister Thaksin Shinawatra, while Cambodia terminated relations (represented by its embassy in Bangkok) twice in 1958 and 1961, during the Preah Vihear conflict.",Cambodia,Thailand,Cambodia_Thailand
China–Switzerland relations officially began in the early 1950s.,China,Switzerland,China_Switzerland
Canada-Lesotho Relations began in 1966.,Canada,Lesotho,Canada_Lesotho
"Canada maintains a High Commission in Pretoria, South Africa which represents it in Lesotho.",Canada,Lesotho,Canada_Lesotho
Lesotho maintains a High Commission in Ottawa and a Honourary Consul in Vancouver.,Canada,Lesotho,Canada_Lesotho
"Lesotho businesses can apply for support from the Canada Fund for Local Initiatives, which has funded projects focused on gender equality.",Canada,Lesotho,Canada_Lesotho
Students in Lesotho are eligible for Canadian Queen Elizabeth II Diamond Jubilee Scholarship Program and the African Leaders of Tomorrow Scholarship Program.,Canada,Lesotho,Canada_Lesotho
"In 2017, Bilateral trade was $10 million, consisting of $9.7 million imports from Lesotho and $302,000 in exports to Lesotho.",Canada,Lesotho,Canada_Lesotho
Bangladesh and India are South Asian neighbours.,Bangladesh,India,Bangladesh_India
"Relations have been friendly, although sometimes there are border disputes.",Bangladesh,India,Bangladesh_India
The historic land boundary agreement was signed on 6 June 2015 which opened a new era in the relations and further stopped all irritants in ties.,Bangladesh,India,Bangladesh_India
"They are common members of SAARC, BIMSTEC, IORA and the Commonwealth.",Bangladesh,India,Bangladesh_India
The two countries share many cultural ties.,Bangladesh,India,Bangladesh_India
"In particular, Bangladesh and the east Indian state of West Bengal are Bengali-speaking.",Bangladesh,India,Bangladesh_India
Bangladesh has a high commission in New Delhi with consulates in Mumbai and Kolkata.,Bangladesh,India,Bangladesh_India
India has a high commission in Dhaka with a consulate in Chittagong.,Bangladesh,India,Bangladesh_India
"In 1971, the Bangladesh Liberation War broke out between East Pakistan and West Pakistan; India intervened in December 1971 on behalf of East Pakistan and helped secure East Pakistan's independence from Pakistan as the country of Bangladesh.",Bangladesh,India,Bangladesh_India
"In a 2014 survey, 70% of Bangladeshis expressed a favorable opinion and perception of India.",Bangladesh,India,Bangladesh_India
"Since the visit of Indian Prime Minister Narendra Modi to Bangladesh in 2015 and round back visit of Bangladeshi Prime Minister Sheikh Hasina to India in 2017, the notable developments that have taken places include resolution of long-pending land and maritime boundaries asserting the issue of enclaves, conclusion of over ninety instruments comprising in the hi-tech areas, i.e., electronics, cyber-security, space, information technology, and civil nuclear energy and observed increase in bilateral trade from US$9 billion to US$10.46 billion in the Fiscal Year (FY) 2018-19, followed by US$7 billion to US$9 billion in FY 2017-18, an increase of 28.5 percent.",Bangladesh,India,Bangladesh_India
Nigeria and the United States have long been close allies.,Nigeria,United States,Nigeria_United States
The United States is Nigeria's main trading partner and is its most important diplomatic partner.,Nigeria,United States,Nigeria_United States
"With the nullification of Nigeria's June 12, 1993, presidential election, the substantial amount of human rights abuses, and the failure to embark on a meaningful democratic transition, the United States has imposed numerous sanctions on Nigeria.",Nigeria,United States,Nigeria_United States
"After a period of increasingly strained relations, the death of General Abacha in June 1998, and his replacement by General Abubakar opened a new phase of improved bilateral relations.",Nigeria,United States,Nigeria_United States
"As the transition to democracy progressed, the removal of visa restrictions, increased high-level visits of U.S. officials, discussions of future assistance, and the granting of a Vital National Interest Certification on counter-narcotics, effective in March 1999, paved the way for re-establishment of closer ties between the United States and Nigeria as a key partner in the region and the continent.",Nigeria,United States,Nigeria_United States
"Since the inauguration of the Obasanjo government, the bilateral relationship has continued to improve, and cooperation on many important foreign policy goals, such as regional peacekeeping, has been excellent.",Nigeria,United States,Nigeria_United States
The government has lent strong diplomatic support to U.S. Government counter-terrorism efforts in the aftermath of the September 11 attacks.,Nigeria,United States,Nigeria_United States
"The Government of Nigeria, in its official statements, has both condemned the terrorist attacks and supported military action against the Taliban and Al Qaida.",Nigeria,United States,Nigeria_United States
Nigeria also has played a leading role in forging an anti-terrorism consensus among states in Sub-Saharan Africa.,Nigeria,United States,Nigeria_United States
"An estimated one million Nigerians and Nigerian Americans live, study, and work in the United States, while over 25,000 Americans live and work in Nigeria.",Nigeria,United States,Nigeria_United States
There are many Nigerian organizations in the United States.,Nigeria,United States,Nigeria_United States
"Prominent among them is the Nigerian Union Diaspora (NUD), which is the umbrella Non-Governmental Organization (NGO) for the economic and political empowerment of the people of Nigerian descent outside Nigeria.",Nigeria,United States,Nigeria_United States
"President Yar'Adua visited President Bush at the White House on December 13, 2007.",Nigeria,United States,Nigeria_United States
Nigeria is consistently a pro-America nation.,Nigeria,United States,Nigeria_United States
"According to the 2012 U.S. Global Leadership Report, 77% of Nigerians approve of U.S. leadership, with 9% disapproving and 14% uncertain, and according to a 2013 BBC World Service Poll, 59% of Nigerians view U.S. influence positively, with 29% expressing a negative view.",Nigeria,United States,Nigeria_United States
"According to a 2014 Global Opinion Poll, 69% of Nigerians view the U.S. favorably.",Nigeria,United States,Nigeria_United States
Air Vice Marshal Mahmud Hussain is the Bangladeshi ambassador to Brunei.,Bangladesh,Brunei,Bangladesh_Brunei
Bangladesh is a source of workers for Brunei.,Bangladesh,Brunei,Bangladesh_Brunei
"Both nations are members of APEC, Australia Group, CPTPP, Organization for Economic Co-operation and Development and the United Nations.",Japan,New Zealand,Japan_New Zealand
"The two African Great Lakes countries are partners in many areas, particularly in the trade, infrastructure, security (military), education, agriculture and energy sectors.",Kenya,Uganda,Kenya_Uganda
"Formerly a single nation that was annexed by Japan in 1910, the two nations have been divided since the end of World War II in 1945 and engaged in the Korean War from 1950–1953.",North Korea,South Korea,North Korea_South Korea
 North Korea is a one-party state run by the Kim dynasty.,North Korea,South Korea,North Korea_South Korea
South Korea was formerly governed by one-party military dictatorships until 1987 when it held direct elections.,North Korea,South Korea,North Korea_South Korea
Both nations claim the entire Korean peninsula and outlying islands.,North Korea,South Korea,North Korea_South Korea
Both nations joined the United Nations in 1991 and are recognized by most member states.,North Korea,South Korea,North Korea_South Korea
"Since the 1970s, both nations have held informal diplomatic dialogues in order to ease military tensions.",North Korea,South Korea,North Korea_South Korea
"In 2000, President of South Korea Kim Dae-jung became the first president to visit North Korea, 55 years after the peninsula was divided.",North Korea,South Korea,North Korea_South Korea
"Under President Kim, South Korea adopted the Sunshine Policy in pursuit of more peaceful relationships with North Korea.",North Korea,South Korea,North Korea_South Korea
"The policy established the Kaesong Industrial Region, among other things.",North Korea,South Korea,North Korea_South Korea
This policy was continued by the next president Roh Moo-hyun who also visited North Korea in 2007 and met with North Korean leader Kim Jong-il.,North Korea,South Korea,North Korea_South Korea
Through this meeting both leaders signed a declaration to pursue peace and recover inter-Korean relations.,North Korea,South Korea,North Korea_South Korea
"However, faced with growing criticism, the Sunshine Policy was discontinued under the next two governments.",North Korea,South Korea,North Korea_South Korea
"During Lee Myung-bak and Park Geun-Hye's presidency, the relationship between North and South Korea became more hostile.",North Korea,South Korea,North Korea_South Korea
"In 2018, beginning with North Korea's participation in the 2018 Winter Olympics, the relationship has seen a major diplomatic breakthrough and become significantly warmer.",North Korea,South Korea,North Korea_South Korea
"In April 2018, the two countries signed the Panmunjom Declaration for Peace, Prosperity and Unification of the Korean Peninsula.",North Korea,South Korea,North Korea_South Korea
"In 2018, a majority of South Koreans approved the new relationship.",North Korea,South Korea,North Korea_South Korea
The summits between North and South Korea have also facilitated positive relationships between North Korea and the United States.,North Korea,South Korea,North Korea_South Korea
"However, tensions between the two countries remain.",North Korea,South Korea,North Korea_South Korea
"Both nations have over the years joined several multilateral forums and are members of the Association of Caribbean States, Community of Latin American and Caribbean States, Organization of American States, Organization of Ibero-American States and the United Nations.",Dominican Republic,Mexico,Dominican Republic_Mexico
"The populations of eastern Chad and western Sudan established social and religious ties long before either nation's independence, and these remained strong despite disputes between governments.",Chad,Sudan,Chad_Sudan
"In recent times, relations have been strained due to the conflict in Darfur and a civil war in Chad, which both governments accuse the other of supporting.",Chad,Sudan,Chad_Sudan
These relations have been marked by an extensive and complicated history.,Germany,Poland,Germany_Poland
"From the 10th century onward, the Piast Kingdom of Poland established under Duke Mieszko I had close and chequered relations with the Holy Roman Empire.",Germany,Poland,Germany_Poland
" However, these relations were overshadowed by the centuries-long Polish–Teutonic Wars, as a result of which the Teutonic Duchy of Prussia became a fief of the Kingdom of Poland.",Germany,Poland,Germany_Poland
Prussia retained a certain level of autonomy under Polish rule.,Germany,Poland,Germany_Poland
"Later, the Kingdom of Prussia rose and eventually became one of the partitioners of Poland in 1772–1795.",Germany,Poland,Germany_Poland
"In 1918, Poland regained its place on the map.",Germany,Poland,Germany_Poland
"After World War I, the Treaty of Versailles deprived Germany of its territories in West Prussia, East Upper Silesia and Danzig (Gdansk) and transferred them all to Poland.",Germany,Poland,Germany_Poland
"It was seen as a great injustice in the Weimar Republic, in part leading to the Nazi takeover of power in 1933.",Germany,Poland,Germany_Poland
"On 1 September 1939, Poland was invaded by Germany, thus initiating World War II.",Germany,Poland,Germany_Poland
"The Third Reich established concentration camps in German-occupied Poland, the biggest located in Auschwitz.",Germany,Poland,Germany_Poland
"Poland suffered circa 6 million casualties and huge material damages during the war as Germany sought to carry out genocide on its Polish, Jewish and Roma populations.",Germany,Poland,Germany_Poland
"After World War II, Germany lost its former eastern territories to Poland and the Soviet Union.",Germany,Poland,Germany_Poland
"In 1945-1950, a series of expulsions and fleeings happened, in which up to 16 million ethnic Germans were forced to leave their homes in Poland and resettle in post-war Germany.",Germany,Poland,Germany_Poland
It was the largest forced movement of any population in history.,Germany,Poland,Germany_Poland
The Cold War saw good relations between the communist states of People's Republic of Poland and the German Democratic Republic.,Germany,Poland,Germany_Poland
"Polish-West German relations, on the other hand, remained bad, although they improved after Chancellor Willy Brandt launched the Ostpolitik.",Germany,Poland,Germany_Poland
"In 1990, Germany reunified and it confirmed the Polish-German border on the Oder-Neisse line in a treaty.",Germany,Poland,Germany_Poland
"Both states are now European Union allies and partners, having an open border and being members of the European Single Market.",Germany,Poland,Germany_Poland
The once bad relationship between Poland and Germany has now become a strategic partnership.,Germany,Poland,Germany_Poland
"The bilateral relations between the Islamic Republic of Pakistan and the Kingdom of Saudi Arabia (Arabic: العلاقات السعودية الباكستانية‎, Urdu: پاک سعودی  تعلقات‎) are historically close and extremely friendly, frequently described by analysts as constituting a special relationship.",Pakistan,Saudi Arabia,Pakistan_Saudi Arabia
"Despite Pakistan's close relationship with Iran and Saudi Arabia's close relationship with India, Pakistan has been called ""Saudi Arabia's closest Muslim ally.""",Pakistan,Saudi Arabia,Pakistan_Saudi Arabia
Chile – People's Republic of China relations officially began on 15 December 1970.,Chile,China,Chile_China
"Russia–Uganda relations (Russian: Российско-угандийские отношения) is the bilateral foreign relations between the two countries, Russia and Uganda.",Russia,Uganda,Russia_Uganda
Russia has an embassy in Kampala and Uganda has an embassy in Moscow.,Russia,Uganda,Russia_Uganda
The links between the two countries are traditionally friendly.,Russia,Uganda,Russia_Uganda
" The relationship, largely driven by the nations' common interests as maritime countries on the edge of Europe and close to larger continental neighbours, dates back to the Middle Ages in 1373 with the Anglo-Portuguese Alliance.",Portugal,United Kingdom,Portugal_United Kingdom
The two countries now enjoy a friendly and close relationship.,Portugal,United Kingdom,Portugal_United Kingdom
"Mozambique–Russia relations (Russian: Российско-мозамбикские отношения) date back to the 1960s, when Russia began to support the struggle of Mozambique's Marxist-oriented FRELIMO party against Portuguese colonialism.",Mozambique,Russia,Mozambique_Russia
 Most leaders of the FRELIMO were trained in Moscow.,Mozambique,Russia,Mozambique_Russia
" Diplomatic relations were formally established on 25 June 1975, soon after Mozambique gained its independence from Portugal.",Mozambique,Russia,Mozambique_Russia
"In June 2007, both Russia and Mozambique signed an agreement on economic cooperation.",Mozambique,Russia,Mozambique_Russia
"Russia has an embassy in Maputo while Mozambique has an embassy in Moscow, Russia.",Mozambique,Russia,Mozambique_Russia
Morocco is a neighbouring and associated country of the European Union.,Morocco,European Union,Morocco_European Union
The relations between the two are framed in the European Neighbourhood Policy (ENP) and the Union for the Mediterranean.,Morocco,European Union,Morocco_European Union
"Among the ENP countries, Morocco has been recognised an advanced status, opening up to high levels of political cooperation.",Morocco,European Union,Morocco_European Union
The main legal ties between Morocco and the EU are set by the 2000 Association Agreement.,Morocco,European Union,Morocco_European Union
"Several other agreement cover sectoral issues, including the 2006 EU-Morocco Fisheries Partnership Agreement and the 2006 Open Skies agreement.",Morocco,European Union,Morocco_European Union
The relationship between the two countries is strong; Iran has an Embassy in Kiev and Ukraine has an embassy in Tehran.,Iran,Ukraine,Iran_Ukraine
Iran had been attempting to strenghten relations in Europe including Ukraine.,Iran,Ukraine,Iran_Ukraine
"In 2010 Ukrainian ambassador Oleksandr Samarsky offered his diplomatic credentials to Iranian Foreign Minister, Manouchehr Mottaki, calling for the two countries to increase cooperation with each other.",Iran,Ukraine,Iran_Ukraine
Mottaki agreed with the statement.,Iran,Ukraine,Iran_Ukraine
