Summary,URL,Country_Pair
"Benin – China relations refers to the current and historical relationship between Benin and the People's Republic of China. Relations first established bilateral relations in November 1964. In January 1966, Benin recognized the Republic of China (Taiwan) and withdrew relations from the People's Republic. Benin and PR China reestablished relations in 1972 under the regime of Mathieu Kérékou in Benin. Benin and PR China regularly exchanged high level visits, with Kérékou personally visiting Beijing in 1976, 1986 and 1998. Relations have focused on commercial development. Since 1972, Benin has supported PR China's One China Policy.",https://en.wikipedia.org/wiki/Benin%E2%80%93China_relations,Benin–China relations
"Benin–India relations refers to the bilateral ties between the Republic of India and the Republic of Benin.
Both nations are part of the Non-Aligned Movement. Benin supports India's candidature for a permanent seat in a reformed Security Council. The Ministry of External Affairs of the Government of India has said that India's ties with Benin were characterized by ""democracy"" and ""secularism"".The Indian Minister of State for External affairs recently visited Benin, where he said that,""We in India greatly admire Republic of Benin as a shining example of a tolerant, progressive multi-ethnic and multi-religious society with a multi-party democracy. India, being the world's largest democracy, rejoices at Benin's various achievements and wishes to contribute to its further success.""",https://en.wikipedia.org/wiki/Benin%E2%80%93India_relations,Benin–India relations
"Benin–Russia relations (Russian: Российско-бенинские отношения) is the relationship between the two countries, Benin and Russia.",https://en.wikipedia.org/wiki/Benin%E2%80%93Russia_relations,Benin–Russia relations
"Benin–Haiti relations refers to the current and historical relationship between Benin and Haiti.
Haiti and Benin maintain diplomatic relations with a Haitian office in Cotonou, although Benin does not currently maintain an official diplomatic presence in the country due to the 2010 earthquake. Benin contributed a contingency of 32 police/civilian personnel to MINUSTAH.
The two countries share an extensive cultural history by way of the Atlantic slave trade and the resulting importing of Vodou as a religious force in Haitian society. The earthquake was followed, among many reactions, by an outburst of solidarity prayers in Benin with the victims. Traditional ceremonies were organized to appease the spirits and seek the blessing of ancestors for the Haitians.",https://en.wikipedia.org/wiki/Benin%E2%80%93Haiti_relations,Benin–Haiti relations
"Benin–Denmark relations refers to the current and historical relations between Benin and Denmark. Benin has an embassy in Copenhagen since 2005, and Denmark has an embassy in Cotonou. In 2007, the Danish development aid to Benin amounted 236 million DKK. Denmark is one of the largest aid donors to Benin and invested 60 million dollars in Benin in 2011.",https://en.wikipedia.org/wiki/Benin%E2%80%93Denmark_relations,Benin–Denmark relations
"Benin–Spain relations are the bilateral and diplomatic relations between these two countries. Benin does not have embassy in Spain, but his embassy in Paris is accredited to Spain but it has consulates in Barcelona and Madrid. Spain also has no embassy in Benin, but has an embassy in Abuja, Nigeria, accredited for Benin.",https://en.wikipedia.org/wiki/Benin%E2%80%93Spain_relations,Benin–Spain relations
"Botswana–United States relations are the international relations between Botswana and the United States.
According to the 2012 U.S. Global Leadership Report, 79% of Botswana people approve of U.S. leadership, with 8% disapproving and 13% uncertain.Botswana and the US state of Hawaii are antipodes.",https://en.wikipedia.org/wiki/Botswana%E2%80%93United_States_relations,Botswana–United States relations
"Botswana–Russia relations (Russian: Российско-ботсванские отношения) date back to 6 March 1970 when Botswana and the Soviet Union established diplomatic relations.
The present-day relations between the two countries are described as friendly and long standing.
According to the minister of Foreign Affairs, Russia was one of the first countries to establish full diplomatic relations with Botswana.",https://en.wikipedia.org/wiki/Botswana%E2%80%93Russia_relations,Botswana–Russia relations
"Botswana - People's Republic of China relations refers to the current and historical relationship between the Botswana and the People's Republic of China. Relations were first established on 6 January 1975. In 2010, upon the 35th anniversary of relations being formalized, the relationship between the two states was considered ""strong"" and ""rapidly growing"" by then Chinese ambassador to Botswana, Liu Huanxing. Botswana follows the One China Policy which means Botswana does not have relations with the Republic of China (Taiwan). Following the 2008 Sichuan earthquake in China, the Botswana government donated one million pula.",https://en.wikipedia.org/wiki/Botswana%E2%80%93China_relations,Botswana–China relations
"India recognized Botswana shortly after the latter's independence in 1966, and opened an embassy in Gaborone in 1987. Botswana opened its embassy in New Delhi in 2006.Botswana President Festus Mogae has visited India twice in May 2005 and December 2006. During the second visit, India agreed to provide a line of credit of US$20 million and a grant-in-aid  of ₹50 million to develop Botswana's health and education sectors respectively.The two nations have signed several agreements related to bilateral trade, taxation, cultural exchanges, and science and technology. Botswana is also a part of India's Pan African E-Network Project. In September 2014, the two sides concluded an agreement under which the Indian Army will provide training to the Botswana Defence Forces.Citizens of Botswana are eligible for scholarships under the Indian Technical and Economic Cooperation Programme and the Indian Council for Cultural Relations.",https://en.wikipedia.org/wiki/Botswana%E2%80%93India_relations,Botswana–India relations
Bangladesh–Botswana relations refer to the bilateral relations of Bangladesh and Botswana. Neither country has a resident ambassador.,https://en.wikipedia.org/wiki/Bangladesh%E2%80%93Botswana_relations,Bangladesh–Botswana relations
"Botswana–South Africa relations refers to the historical and current relationship of Botswana and South Africa.  Botswana has a high commission in Pretoria and South Africa has a high commission in Gaborone.  Both countries are former British colonies and members of the African Union, the Commonwealth of Nations and the Southern African Development Community (SADC).",https://en.wikipedia.org/wiki/Botswana%E2%80%93South_Africa_relations,Botswana–South Africa relations
"Botswana–North Korea relations (Korean: 보츠와나-조선민주주의인민공화국 관계) refers to the current and historical relationship between Botswana and the Democratic People's Republic of Korea (DPRK), commonly known as North Korea. The two countries never maintained an embassy in their respective capitals since the suspension of diplomatic relations in February 2014.",https://en.wikipedia.org/wiki/Botswana%E2%80%93North_Korea_relations,Botswana–North Korea relations
"Botswana–Namibia relations refers to the current and historical relationship between Botswana and Namibia. As of 2009, relations were considered friendly, with the two neighboring countries cooperating on economic development. Botswana gained independence from Britain in September 1966. Namibia gained independence from South Africa in 1990 following the Namibian War of Independence, and the two countries soon after established formal diplomatic relations. Botswana has a high commission in Windhoek. Namibia has a high commission in Gaborone.",https://en.wikipedia.org/wiki/Botswana%E2%80%93Namibia_relations,Botswana–Namibia relations
"Botswana–Spain relations are the bilateral and diplomatic relations between these two countries. Botswana has no embassy in Spain but it has a consulate in Madrid. Spain has an embassy in Windhoek, Namibia accredited to Botswana and a consulate in Gaborone, capital of Botswana.",https://en.wikipedia.org/wiki/Botswana%E2%80%93Spain_relations,Botswana–Spain relations
"Burkina Faso–United States relations are the international relations between Burkina Faso and the United States. The relations are good but subject to strains in the past because of the Compaoré government's past involvement in arms trading and other sanctions-breaking activity.
According to the 2012 U.S. Global Leadership Report, 82% of Burkina Faso people approve of U.S. leadership, with 17% disapproving and 1% uncertain, the third-highest rating of the U.S. for any surveyed country in Africa.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93United_States_relations,Burkina Faso–United States relations
"Burkina Faso–Russia relations (Russian: Российско-буркинийские отношения) are the bilateral relations between the two countries, Burkina Faso and Russia. Diplomatic relations between Burkina Faso and the Soviet Union were established for the first time on February 18, 1967. After the breakup of the Soviet Union, Burkina Faso recognized Russia as the USSR's successor. However financial reasons has shut the embassies between the two nations. In 1992, the embassy of the Russian Federation in Ouagadougou was closed, and in 1996, the embassy of Burkina Faso in Moscow was closed. Burkina Faso has since re-opened its embassy in Moscow. Russia is accredited to Burkina Faso from its embassy in Abidjan (Côte d'Ivoire).
In 2000, between Russia and Burkina Faso signed an intergovernmental agreement on visa-free travel for diplomatic and service passports. Trade and economic relations are limited to occasional business contacts between business structures. The turnover in 2008 amounted to 3.2 million dollars (mostly Russian exports). Higher education in Russia received about 3,500 students from Burkina Faso. In the 2008/2009 academic year, Burkina Faso has been allocated two scholarships for education in Russian universities at the expense of the federal budget, but which were not used.
On July 26, 2007, Burkina Faso's ambassador to Moscow, Xavier Niodogo, handed a copy of credentials to the Deputy Minister of Foreign Affairs of the Russian Federation, Alexander V. During the meeting discussed a number of international, including African problems, as well as the development of the bilateral relations between the two nations. Niodogo praised the approach of Russia to assist African countries, especially in alleviating their debt burden, tackling the problems of socio-economic development of our country's role in resolving conflicts on the African continent.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93Russia_relations,Burkina Faso–Russia relations
"Burkina Faso–India relations refers to the international relations that exist between Burkina Faso and India. Burkina Faso maintains an embassy in New Delhi. India maintained an embassy in Ouagadougou from November 1996 until its closure in July 2002. Currently, India maintains an honorary consulate in Ouagadougou, which functions under the jurisdiction of the High Commission of India in Accra, Ghana.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93India_relations,Burkina Faso–India relations
"With the coming to power of Thomas Sankara in Burkina Faso in 1983, relations between Ghana and Burkina became both warm and close. Indeed, Jerry Rawlings and Sankara began discussions about uniting Ghana and Burkina in the manner of the defunct Ghana-Guinea-Mali Union, which Nkrumah had sought unsuccessfully to promote as a foundation for his dream of unified continental government. Political and economic ties between Ghana and Burkina, a poorer country, were strengthened through joint commissions of cooperation and through border demarcation committee meetings. Frequent high-level consultations and joint military exercises, meant to discourage potential dissidents and to protect young ""revolutions"" in each country, were fairly regular features of Ghana-Burkina relations.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93Ghana_relations,Burkina Faso–Ghana relations
"Burkina Faso–Taiwan relations referred to the historical relationship between the Republic of China (Taiwan)  and Burkina Faso. Taiwan had an embassy in Ouagadougou, and Burkina Faso had an embassy in Taipei. The last ambassador of Burkina Faso to Taiwan, appointed in August 2017, was Aminata Sana Congo.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93Taiwan_relations,Burkina Faso–Taiwan relations
"Burkina Faso–Canada relations refers to bilateral foreign relations between the two countries, Burkina Faso and Canada. Canada and Burkina Faso established diplomatic relations in 1962. Canada and Burkina Faso share French as a common language and work together on regional and multilateral issues.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93Canada_relations,Burkina Faso–Canada relations
"Burkina Faso–China relations or Sino-Burkinabé relations refers to the diplomatic relations between Burkina Faso and China.
From 1961 until 1973, Burkina Faso recognized the Republic of China as the sole legitimate representative in China.
From September 15, 1973 to February 4, 1994, Ouagadougou and its five successive presidents maintained a modest relationship with Beijing (in terms of projects and financing). Opportunistic, this recognition came two years after the accession of so-called mainland China to the UN Security Council. In 1971, Burkina Faso (then still ""Upper Volta"") opposed with the United States to the Resolution 2758 of the United Nations General Assembly of October 25, 1971. Maurice Yaméogo (president from 1959 to 1966) had however, maintained relations with Beijing before the formalization of bilateral relations, that is to say during the Taiwanese-Burkinabe cooperation. But Burkina Faso is the only African state to have twice recognized the Republic of China: in 1964 and in 1994.
At the beginning of 1994, Ouagadougou faced numerous fiscal and economic difficulties - including the Structural Adjustment Program (SAP) implemented since March 1991 or the devaluation of the CFA franc. Burkina Faso is desperate for foreign financing, preferably non-Western. In any case, China does not seem willing to offer it, although Compaore was the first African leader to visit China after Tiananmen. The envisaged impacts of the currency depreciation and the general economic situation of the country incite the Burkinabè head of State to choose the only partner able to finance quickly and unconditionally - except his recognition - his future ""national commitments"": Taiwan. This opportunity, to which is added a certain number of interests of which at least one would be personal, also presents the advantage of seeing a ""new"" actor contributing, indirectly at least, to the second part of the first. official mandate (1991-1998).
As a result, Taiwan helped finance the political program of the former Burkinabe leader who received between 40 and 50 million dollars from Taiwan to recognize the Republic of China to the detriment of the People's Republic of China.On 24 May 2018, Burkina Faso again cut ties with the Republic of China and two days later, on 26 May, Burkina Faso re-established diplomatic relations with the People's Republic of China.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93China_relations,Burkina Faso–China relations
"Burkina Faso–Denmark relations refers to the current and historical relationship between Burkina Faso and Denmark. Burkina Faso has an embassy in Copenhagen, and Denmark has an embassy in Ouagadougou.",https://en.wikipedia.org/wiki/Burkina_Faso%E2%80%93Denmark_relations,Burkina Faso–Denmark relations
Burundi–United States relations are the international relations between Burundi and the United States.,https://en.wikipedia.org/wiki/Burundi%E2%80%93United_States_relations,Burundi–United States relations
"Burundi–India relations refers to the international relations that exist between Burundi and India. Apart from bilateral relations, India also engages with Burundi through the African Union and the Regional Economic Communities (RECs).",https://en.wikipedia.org/wiki/Burundi%E2%80%93India_relations,Burundi–India relations
"Burundi–Kenya relations are bilateral relations between Burundi and Kenya. Burundi is a partner of Kenya in many areas, particularly trade, security (military), education, agriculture and energy. In 2011, both countries signed a comprehensive bilateral agreement to promote development and technology transfer in agriculture, livestock and fisheries development between them.",https://en.wikipedia.org/wiki/Burundi%E2%80%93Kenya_relations,Burundi–Kenya relations
"Burundi–Tanzania relations are bilateral relations between Burundi and Tanzania. Burundi is a strategic partner of Tanzania in many areas, particularly trade. Since Burundi is a landlocked country, almost 80% of its goods are moved through by road to Dar es Salaam Port. Tanzania has also been a strategic partner in mediating the political tensions in the country.",https://en.wikipedia.org/wiki/Burundi%E2%80%93Tanzania_relations,Burundi–Tanzania relations
"Burundi–North Korea relations (Korean: 부룬디-조선민주주의인민공화국 관계) refers to the current and historical relationship between Burundi and North Korea. Neither country maintains an embassy in their respective capitals.
Diplomatic relations between the two countries were established on 11 March 1967, a year after President Michel Micombero overthrew the previous monarchy. Micombero, a Tutsi African socialist aligned with China, initially maintained a close relationship with North Korea. It was eventually strained in 1971 by alleged undermining against his military rule carried out by North Koreans among the youth members of the Union for National Progress. For several months he refused to accept the credentials of the North Korean ambassador, and threatened to expel all DPRK citizens.Despite this issue, North Korea aided the Tutsi regime during the Hutu uprising that broke out in 1972, the resulting ethnic violence of which killed over 150,000 Hutus. Together with China and France the DPRK provided military support during the unrest. In the years after this the relationship recuperated, and in 1976 Micombero promised full support to the policies of Kim Il-sung. He was overthrown the same year.
In the late 1970s, North Korean engineers constructed a presidential palace for Micombero's successor, Jean-Baptiste Bagaza.A later President, Pierre Buyoya (in power 1987-1993 and 1996-2003), likewise aligned with the DPRK, among other things expressing support for the country's plans to achieve Korean reunification. He is reported to have had possible North Korean military assistance during the Second Congo War.In 2011, it was alleged that Burundi – by purchasing defective Chinese weapons from the North Koreans through a Ukrainian company – had broken the arms embargo placed on the DPRK.",https://en.wikipedia.org/wiki/Burundi%E2%80%93North_Korea_relations,Burundi–North Korea relations
"Diplomatic relations between the People's Republic of China and the Republic of Burundi were established on December 21, 1963 under Chairman Mao Zedong and King Mwambutsa IV Bangiriceng, respectively.  King Mwambutsa broke off diplomatic relations with China in 1965, although they were restored under Michel Micombero the first President of Burundi, on October 31, 1971. Since then, China has provided development aid to Burundi, including helping with the construction of a textiles mill in Bujumbura. As of 2002, China exported $2.718 worth of goods, while importing only $491,000 worth of goods from Burundi. The current Chinese ambassador to Burundi is Feng Zhijun.",https://en.wikipedia.org/wiki/Burundi%E2%80%93China_relations,Burundi–China relations
"Burundi–Spain relations are the bilateral and diplomatic relations between these two countries. Burundi has no embassy in Spain, but his embassy in Paris is accredited to this country. Spain does not have a Diplomatic Representation or Consular Office in Burundi. It is the Spanish Embassy in Dar es Salaam, Tanzania, which holds the Spanish diplomatic representation for this African country.",https://en.wikipedia.org/wiki/Burundi%E2%80%93Spain_relations,Burundi–Spain relations
"China and Cameroon established bilateral relations on March 26, 1971. Cameroon is an adherent to the One China Policy.",https://en.wikipedia.org/wiki/Cameroon%E2%80%93China_relations,Cameroon–China relations
This article details the foreign relations between Cameroon and Nigeria.,https://en.wikipedia.org/wiki/Cameroon%E2%80%93Nigeria_relations,Cameroon–Nigeria relations
Cameroon–United States relations are international relations between Cameroon and the United States.,https://en.wikipedia.org/wiki/Cameroon%E2%80%93United_States_relations,Cameroon–United States relations
"Cameroon–Russia relations refers to bilateral foreign relations between Cameroon and Russia. Russia has an embassy in Yaoundé, and Cameroon has an embassy in Moscow.",https://en.wikipedia.org/wiki/Cameroon%E2%80%93Russia_relations,Cameroon–Russia relations
"Israel–Cameroon relations are relations between the Republic of Cameroon and the State of Israel, two Judeo-Christian nations of Afro-Eurasia. Cameroon joins Eritrea as one of two African states that do not recognize the State of Palestine.
Cameroon voted against several anti-Israel UN resolutions, and was the only nation to join Israel in voting against the UN resolution ""Assistance to Palestine Refugees"".Cameroon cut ties with Israel from 1973 to 1986 and was one of the first states to restore relations. The government of Cameroon uses Israeli armored vehicles, and Cameroon's Rapid Reaction Force, often shortened (by its French name) to BIR, is equipped and trained by Israel.Students in Cameroon were granted 11 month visas to travel to Israel and learn about agriculture, while poultry farmers underwent training for poultry production in Israel.Israelis also trained personnel at six hospitals in Cameroon on how to combat the Ebola virus.",https://en.wikipedia.org/wiki/Cameroon%E2%80%93Israel_relations,Cameroon–Israel relations
"Cameroon–India relations refers to the international relations that exist between Cameroon and India. The High Commission of India in Abuja, Nigeria is concurrently accredited to Cameroon. India also maintains an Honorary Consulate in Douala. Cameroon has no diplomatic mission in India.",https://en.wikipedia.org/wiki/Cameroon%E2%80%93India_relations,Cameroon–India relations
Cameroon–Spain relations are the bilateral and diplomatic relations between these two countries. Cameroon has an embassy in Madrid. España tiene una embajada en Yaunde.,https://en.wikipedia.org/wiki/Cameroon%E2%80%93Spain_relations,Cameroon–Spain relations
"Cape Verde is an island nation, part of the Macaronesian group of islands of the Atlantic Ocean  and was a former Portuguese colony during the colonial era between 1460 and 1975. EU-Cape Verde relations are founded on the EU/Cape Verde Special Partnership, agreed in 2007, building on six pillars;
Good governance
Security/stability
Regional integration
Technical and Regulatory Convergence
Knowledge-based Society
The fight against poverty, and development.Following that, an Action Plan for Security and Stability was launched in 2014 and a Mobility Partnership.
Cape Verde is 97% Christian and its background is a fusion of African, Asian, European and South American backgrounds, where about 70% is African and mixed. Less than 30% is African, whereas about 1% is of unmixed European descent. Because of this, Cape Verdeans find it hard to define themselves as either mixed or Africans. They regard themselves as either both or as unique Cape Verdeans. Politically, Cape Verdeans also worked as part of the Portuguese administration, with independence leader Amílcar Cabral being part of the colonial administration in Guinea-Bissau and Angola.
Cape Verde is a member of the Economic Community of West African States (ECOWAS), an African regional bloc with aims for internal integration similar to those of the EU, and even though it has not yet participated in all of its activities, it cannot have membership in both organizations at the same time. It is also a member of the African Union, an organization aiming for a common currency in Africa, a single defense force for the African continent and an African Union head of state.
Recently, Cape Verde has been distancing itself from its regional African partners and forging closer ties with the EU. In a move signaling its preparation to loosen ties with the West African regional bloc, the government of Cape Verde in September 2006 declared its intentions on suspending the ECOWAS free movement of goods and trade. Prime Minister José Maria Neves announced that his country will start imposing restrictions on the entrance of citizens from all ECOWAS member states. The Cape Verde government soon will present ECOWAS with proposals for ""special status"" instead of full membership. This is also an effort to limit the recent rise of illegal immigration of other West African nationals using Cape Verde and its proximity to the Canary Islands as a springboard towards Europe. Cape Verde is also a member of the Generalised System of Preferences with further incentives for good governance (GSP+).Cape Verde is also one of the beneficiaries of the EU's regional cooperation programme with Portuguese-speaking African countries (PALOP) countries: Angola, Guinea Bissau, Cape Verde and São Tomé and Príncipe.",https://en.wikipedia.org/wiki/Cape_Verde%E2%80%93European_Union_relations,Cape Verde–European Union relations
