Summary_Sentence,Label,Country_A,Country_B,Country_Pair
"China–France relations, also known as Sino-French relations or Franco-Chinese relations, refers to the interstate relations between China and France (Kingdom or later).",2,China,France,China_France
"
Note that the meaning of both ""China"" and ""France"" as entities has changed throughout history; this article will discuss what was commonly considered 'France' and 'China' at the time of the relationships in question.",2,China,France,China_France
" There have been many political, cultural and economic relationships between the two countries.",1,China,France,China_France
"Relations between the two nations date back from the Middle Ages, including Wallachia and Moldavia.",1,Hungary,Romania,Hungary_Romania
Modern diplomatic relations between the two states are dating since the creation of Romania.,1,Hungary,Romania,Hungary_Romania
"
Both countries share 443 km of common border.",2,Hungary,Romania,Hungary_Romania
Both nations are full members of NATO and of the European Union.,2,Hungary,Romania,Hungary_Romania
Relations between Libya and the United Kingdom were initially close and positive after the British Armed Forces helped rebel forces to topple Muammar Gaddafi's regime in the 2011 Libyan Civil War.,1,Libya,United Kingdom,Libya_United Kingdom
"British officials have visited Libya several times since then, including two visits by Prime Minister David Cameron on which large crowds turned out to welcome him.",1,Libya,United Kingdom,Libya_United Kingdom
The British Armed Forces are also helping to train Libya's National Army as part of wider cooperation on security matters.,1,Libya,United Kingdom,Libya_United Kingdom
"Security conditions have deteriorated since 2014, when the United Kingdom suspended operations from their embassy in Tripoli, into a second civil war.",0,Libya,United Kingdom,Libya_United Kingdom
"South Africa–Zimbabwe relations have been generally cordial since the end of apartheid in South Africa, although there have been tensions due to political troubles in Zimbabwe in recent years.",2,South Africa,Zimbabwe,South Africa_Zimbabwe
South Africa has a mission in Harare.,1,South Africa,Zimbabwe,South Africa_Zimbabwe
Zimbabwe has an embassy in Pretoria and a consulate general in Johannesburg.,1,South Africa,Zimbabwe,South Africa_Zimbabwe
"
The Government of Zimbabwe took a particular interest in the search for independence for Namibia (South-West Africa) from South Africa.",2,South Africa,Zimbabwe,South Africa_Zimbabwe
"In addition, as chairman of the Frontline States in southern Africa, Zimbabwe spoke out vigorously against the policies of apartheid in South Africa and frequently called for the imposition of economic sanctions against the government.",0,South Africa,Zimbabwe,South Africa_Zimbabwe
"However, whilst supporting democratic change in South Africa, Zimbabwean leader Robert Mugabe did not support the idea of Zimbabwe being used as a base for anti-South African guerillas.",2,South Africa,Zimbabwe,South Africa_Zimbabwe
"In the 2007 Zimbabwean political crisis, South African President Thabo Mbeki mediated with the MDC and ZANU–PF to form a unity government, and often remained silent on the issues in Zimbabwe, which drew criticism.",2,South Africa,Zimbabwe,South Africa_Zimbabwe
"Following a cholera outbreak in Zimbabwe, the ruling ANC in South Africa became impatient and urged the parties to form a unity government.",2,South Africa,Zimbabwe,South Africa_Zimbabwe
"From 1993 to 2007, Armenia was served by the Embassy of Israel in Georgia.",1,Armenia,Israel,Armenia_Israel
"In 1996, Tsolak Momjian was appointed the honorary consul of Armenia in Jerusalem.",1,Armenia,Israel,Armenia_Israel
"Eleven years later, the residence of the Embassy of Israel in Armenia was moved to Jerusalem.",1,Armenia,Israel,Armenia_Israel
"In October 2010, Shmuel Meirom was appointed the Israeli ambassador to Armenia.",1,Armenia,Israel,Armenia_Israel
"Armen Melkonian was appointed the Armenian ambassador to Israel in 2012, with a residence in Cairo.",1,Armenia,Israel,Armenia_Israel
"In October of that year, Melkonian presented his credentials to Israeli President Shimon Peres.",1,Armenia,Israel,Armenia_Israel
"
On the 21st of September 2019 Armenia announced that it would be opening an embassy in Israel.",1,Armenia,Israel,Armenia_Israel
Denmark–Sweden relations relate to Denmark and Sweden.,2,Denmark,Sweden,Denmark_Sweden
Both of these countries have a very long history together.,2,Denmark,Sweden,Denmark_Sweden
"These countries were part of the Kalmar Union between 1397 and 1523, although, there exists an inherited cultural competition between Sweden and Denmark.",2,Denmark,Sweden,Denmark_Sweden
"From 1448 to 1790 the two kingdoms were at war nearly at every chance, in more than one case a new king trying to prove his worth by waging war on the other country for little or no political reason.",0,Denmark,Sweden,Denmark_Sweden
There have been 11 Dano-Swedish wars between 1521 and 1814.,0,Denmark,Sweden,Denmark_Sweden
"
Today, the countries are separated by the Øresund, which links the Baltic Sea and the North Sea.",2,Denmark,Sweden,Denmark_Sweden
 Denmark has an embassy in Stockholm and 2 consulates general (in Göteborg and Malmö).,1,Denmark,Sweden,Denmark_Sweden
" Sweden has an embassy in Copenhagen and 16 honorary consulates (in Aabenraa, Aarhus, Aalborg, Esbjerg, Frederikshavn, Grenå, Helsingør, Holbæk, Kolding, Nuuk, Nykøbing Falster, Odense, Rønne, Skagen, Tórshavn and Viborg).",1,Denmark,Sweden,Denmark_Sweden
"Both countries are full members of the Nordic Council, of the Council of the Baltic Sea States, of the Council of Europe, and of the European Union.",2,Denmark,Sweden,Denmark_Sweden
"Around 21,000 Swedish people live in Denmark and around 42,000 Danish people live in Sweden.",2,Denmark,Sweden,Denmark_Sweden
Afghanistan–Pakistan relations involve bilateral relations between Afghanistan and Pakistan.,2,Afghanistan,Pakistan,Afghanistan_Pakistan
"The two neighbouring countries share deep historical and cultural links, each has declared itself an Islamic republic and both have become members of the South Asian Association for Regional Cooperation.",1,Afghanistan,Pakistan,Afghanistan_Pakistan
"Relations between the two countries have been strained since 1947, when Pakistan gained independence and Afghanistan was the sole country to vote against Pakistan's admission into the UN.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
Afghanistan immediately armed separatist movements in the nascent Pakistan and made irredentist claims to large swathes of Pakistani territory—which prevented the emergence of normalised ties between the two countries.,0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Further tensions have arisen with various issues related to the War in Afghanistan (1978–present), and with the millions of Afghan refugees who have sought shelter in Pakistan since the start of that war.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Water rights, the growing relations of India and Afghanistan, Afghanistan's continued refusal to accept the Durand Line as an international border have further complicated ties.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"
Bilateral relations between the countries have been poor, beginning immediately after Pakistan became independent in August 1947.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Afghanistan's was the sole vote against Pakistan's admission to the United Nations in 1947, due to Afghan discontent with the permanency of the Durand Line.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Afghanistan immediately laid irredentist claims over Pashtun-dominated territories within Pakistan, and demanded renegotiation of the border with the aim of shifting it eastwards  to the Indus River, deep within Pakistani territory.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Shortly after Pakistani independence, Afghanistan materially supported the failed armed secessionist movement headed by Mirzali Khan against Pakistan.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
Afghanistan's immediate support of secessionist movements within Pakistan prevented normalised ties from emerging between the two states.,0,Afghanistan,Pakistan,Afghanistan_Pakistan
"In 1952 the government of Afghanistan published a tract in which it laid claim not only to Pashtun territory within Pakistan, but also to the Pakistani province of Balochistan.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Diplomatic relations were cut off between 1961 and 1963 after Afghanistan supported more armed separatists in Pakistan, leading to skirmishes between the two states earlier in 1960, and Pakistan's subsequent closure of the port of Karachi to Afghan transit trade.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"Mohammed Daoud Khan became President of Afghanistan in 1973, Afghanistan—with Soviet support—again pursued a policy of arming Pashtun separatists within Pakistan.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"The Pakistani military have accused Afghanistan of sheltering various terrorist groups which launch attacks into Pakistan, while Afghan authorities have blamed Pakistan's intelligence agency, the ISI, for funding warlords and the Taliban, and for basing terrorist camps within Pakistani territory to target Afghanistan.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"There is considerable anti-Pakistan sentiment in Afghanistan, while negative sentiment towards the Afghan refugees is widespread in Pakistan, even in Pashtun-dominated regions.",0,Afghanistan,Pakistan,Afghanistan_Pakistan
"However, former Afghan President Hamid Karzai (in office 2004–2014) has described Pakistan and Afghanistan as ""inseparable brothers"" while also alleging that Pakistan uses terrorism against Afghanistan, which is due to the historical, religious, and ethnolinguistic connections between the Pashtun people and other ethnic groups of both countries, as well as to trade and other ties.",2,Afghanistan,Pakistan,Afghanistan_Pakistan
"Each of the two countries features amongst the other's largest trading partners, and Pakistan serves as a major conduit for transit trade involving landlocked Afghanistan.",1,Afghanistan,Pakistan,Afghanistan_Pakistan
"Iran and Yemen have had cordial, if tepid, relations since the Iranian Revolution in 1979.",1,Iran,Yemen,Iran_Yemen
"Ties between the Saudi-backed Yemeni government in Aden, however, have been damaged in recent years by Iran's support for the rival Yemeni government in Sanaa linked to the Houthi movement.",0,Iran,Yemen,Iran_Yemen
The United States and the Saudi-backed government in Yemen have repeatedly accused Iran of providing funding and weapons to the Zaydi Shi’ite Houthi rebels and on one occasion claimed to have discovered Iranian-made arms in rebel weapons caches.,0,Iran,Yemen,Iran_Yemen
The US and Saudi Arabia have also accused Iran's allies in Lebanon and Syria of also supporting the Yemeni government in Sanna.,0,Iran,Yemen,Iran_Yemen
"Iran has also deployed submarines and warships off Yemen’s coast, in the Gulf of Aden and Red Sea, ostensibly to conduct anti-piracy operations.",0,Iran,Yemen,Iran_Yemen
"Diplomatic relations are cordial, although the Solomon Islands government has aligned itself with other countries in the region to urge Fiji interim Prime Minister Voreqe Bainimarama to restore democracy in Fiji.",1,Fiji,Solomon Islands,Fiji_Solomon Islands
"Fiji and the Solomons are both located in Melanesia, and are both members of the Melanesian Spearhead Group.",2,Fiji,Solomon Islands,Fiji_Solomon Islands
They also participate in other regional organisations including the Pacific Islands Forum.,2,Fiji,Solomon Islands,Fiji_Solomon Islands
"In August 2008, it was announced that Solomon Islands intended to open a High Commission in Suva, and in December the government of Fiji announced that it had ""formally endorsed the establishment of a Resident Diplomatic Mission in Suva by the Government of Solomon Islands"".",1,Fiji,Solomon Islands,Fiji_Solomon Islands
Fiji's High Commission to Papua New Guinea is accredited to Solomon Islands.,1,Fiji,Solomon Islands,Fiji_Solomon Islands
"
The earliest relations between the two countries came during the Second World War, when Fiji soldiers under British command fought against the Japanese in the Solomons.",1,Fiji,Solomon Islands,Fiji_Solomon Islands
"Formal diplomatic relations were established on 28 July 1978, when the Solomon Islands became a sovereign country.",1,Fiji,Solomon Islands,Fiji_Solomon Islands
"Today, Fiji soldiers are once again present in the Solomon Islands, as part of the Regional Assistance Mission to Solomon Islands (RAMSI).There is a Fiji community in Solomon Islands, notably in Honiara, the capital city.",1,Fiji,Solomon Islands,Fiji_Solomon Islands
It includes both Solomon Islands citizens of Fiji descent and Fiji citizen workers and businessmen currently residing in the Solomons.,2,Fiji,Solomon Islands,Fiji_Solomon Islands
"Similarly, there are Fiji citizens of Solomon Islands descent in Fiji, descendants of workers who came to work on European-owned plantations in the nineteenth century.",2,Fiji,Solomon Islands,Fiji_Solomon Islands
"Suva ""has one of the highest concentrations of Solomon Islanders living overseas"".",2,Fiji,Solomon Islands,Fiji_Solomon Islands
"Former Solomon Islands Prime Minister, Derek Sikua, was educated in Fiji and speaks Fijian.",2,Fiji,Solomon Islands,Fiji_Solomon Islands
"Since March 2012, the Solomon Islands High Commissioner to Fiji is former Foreign Affairs Minister Patteson Oti.",2,Fiji,Solomon Islands,Fiji_Solomon Islands
"Historically, relations have generally been close and friendly, characterised by understanding and cooperation on an international front.",1,India,Poland,India_Poland
 Both states were established based on ideological declarations (see Two-Nation Theory and Homeland for the Jewish people) in 1947 from British Empire.,2,Israel,Pakistan,Israel_Pakistan
Diplomatic ties have not been established and Pakistan has refused to recognize Israel.,0,Israel,Pakistan,Israel_Pakistan
"Nevertheless, Pakistan and Israel use their Embassies at Istanbul to mediate or exchange information with each other.",1,Israel,Pakistan,Israel_Pakistan
"In 2009, Pakistan is believed to have used its embassy in Istanbul to pass on information about a terror group to Israel according to WikiLeaks.",1,Israel,Pakistan,Israel_Pakistan
Diplomatic relations were established in 1967.,1,Japan,Maldives,Japan_Maldives
"Lithuania has an embassy in Moscow and consulates in Saint Petersburg, Kaliningrad and Sovetsk.",1,Lithuania,Russia,Lithuania_Russia
"Russia has an embassy in Vilnius, with consulates in Klaipėda.",1,Lithuania,Russia,Lithuania_Russia
The two countries share a common border through Kaliningrad Oblast.,2,Lithuania,Russia,Lithuania_Russia
"Relations between the European Union (EU) and Turkey were established in 1959, and the institutional framework was formalized with the 1963 Ankara Agreement.",1,European Union,Turkey,European Union_Turkey
Turkey is one of the EU's main partners in the Middle East and both are members of the European Union–Turkey Customs Union.,1,European Union,Turkey,European Union_Turkey
The EU and Turkey have a common land border through the EU member states Bulgaria and Greece.,2,European Union,Turkey,European Union_Turkey
"
Turkey has been an applicant to accede to the EU since 1987, but since 2016 accession negotiations have stalled.",0,European Union,Turkey,European Union_Turkey
The EU has criticized Turkey for human rights violations and deficits in rule of law.,0,European Union,Turkey,European Union_Turkey
"In 2017, EU officials expressed the view that planned Turkish policies violate the Copenhagen criteria of eligibility for an EU membership.",0,European Union,Turkey,European Union_Turkey
" On 26 June 2018, the EU's General Affairs Council stated that ""the Council notes that Turkey has been moving further away from the European Union.",0,European Union,Turkey,European Union_Turkey
"Turkey’s accession negotiations have therefore effectively come to a standstill and no further chapters can be considered for opening or closing and no further work towards the modernisation of the EU-Turkey Customs Union is foreseen.""",0,European Union,Turkey,European Union_Turkey
"Bilateral relations between the Republic of India and the Republic of Singapore have traditionally been strong and friendly, with the two nations enjoying extensive cultural and commercial relations.",1,India,Singapore,India_Singapore
"India and Singapore have signed the Comprehensive Economic Cooperation Agreement (CECA) and strategic-relationship agreement in order to increase trade, investments and economic cooperation, and expanded bilateral cooperation on maritime security, training forces, joint naval exercises, developing military technology and fighting terrorism.",1,India,Singapore,India_Singapore
"According to a 2010 Gallup poll, 40% of Singaporeans approve of India's leadership, with 23% disapproving and 37% uncertain.",1,India,Singapore,India_Singapore
"There are no diplomatic relations between Armenia and Azerbaijan, largely due to the ongoing Nagorno-Karabakh conflict.",0,Armenia,Azerbaijan,Armenia_Azerbaijan
"The neighboring nations had formal governmental relations between 1918 and 1921, during their brief independence from the collapsed Russian Empire, as the First Republic of Armenia and the Democratic Republic of Azerbaijan; these relations existed from the period after the Russian Revolution until they were occupied and annexed by the Soviet Union.",1,Armenia,Azerbaijan,Armenia_Azerbaijan
Due to the two wars waged by the countries in the past century—one from 1918 to 1921 and another from 1988 to 1994—the two have had strained relations.,0,Armenia,Azerbaijan,Armenia_Azerbaijan
"Since the 1979 Iranian Revolution, relations between the two countries have been strained over various geopolitical issues such as the interpretations of Islam, aspirations for leadership of the Islamic world, and relations with the United States, Europe and other Western countries.",0,Bahrain,Iran,Bahrain_Iran
"In addition, Iran has been severely critical of Bahrain for hosting the United States Fifth Fleet within the Persian Gulf at the Naval Support Activity Bahrain base.",0,Bahrain,Iran,Bahrain_Iran
"
After the Saudi diplomatic missions in Iran were ransacked by Iranian protesters following the execution of Nimr al-Nimr, Bahrain followed Saudi Arabia's decision by severing diplomatic relations with Iran on January 4, 2016.On 16 April 2019 a court in Bahrain sentenced 139 people to prison for forming terrorist groups backed by Iran.",0,Bahrain,Iran,Bahrain_Iran
 A total of 169 were arrested.,0,Bahrain,Iran,Bahrain_Iran
"Diplomatic relations between Iraq and the United States began when the U.S. first recognized Iraq on January 9, 1930, with the signing of the Anglo-American-Iraqi Convention in London by Charles G. Dawes, U.S. Ambassador to the United Kingdom.",1,Iraq,United States,Iraq_United States
"Today, the United States and Iraq both consider themselves as strategic partners, given the American political and military involvement after the invasion of Iraq and their mutual, deep-rooted relationship that followed.",1,Iraq,United States,Iraq_United States
The United States provides the Iraqi security forces millions of dollars of military aid and training annually as well as uses its military bases.,1,Iraq,United States,Iraq_United States
"In 2020, Iraq voted to ask the United States and its coalition members to withdraw all of their troops from the country, with U.S. President Trump asserting that sanctions will be imposed against Iraq if the United States' troops were forced to exit Iraq.",0,Iraq,United States,Iraq_United States
"Meanwhile, Iraq has prepared a mechanism for the withdrawal of coalition troops from the country and begun discussing it with coalition members.",2,Iraq,United States,Iraq_United States
"According to the office of Iraq's Prime Minister, the United States has promised to follow up on unauthorized use of Iraqi airspace and violations of its sovereignty.",1,Iraq,United States,Iraq_United States
Both countries established diplomatic relations after the unification of Italy.,1,Italy,Spain,Italy_Spain
"Relations between Italy and Spain have remained strong and affable for centuries owing to various political, cultural, and historical connections between the two nations.",1,Italy,Spain,Italy_Spain
India has an embassy in Belgrade.,1,India,Serbia,India_Serbia
Serbia has an embassy in New Delhi and an honorary consulate in Chennai.,1,India,Serbia,India_Serbia
"
Both countries are key allies and were founding members of the Non Aligned Movement with Serbia being part of Socialist Federal Republic of Yugoslavia at the time.",1,India,Serbia,India_Serbia
India was one of the nations that cosponsored the proposal to readmit the Federal Republic of Yugoslavia to the United Nations in 2000.,1,India,Serbia,India_Serbia
India backs Serbia's position regarding Kosovo and supports Serbia's EU integration process.,1,India,Serbia,India_Serbia
"During her visit to Belgrade in 2013, Indian foreign minister Preneet Kaur stated that she hopes that Serbia will continue to support reforms in international bodies, including the United Nations, and India's bid to become a permanent member of the UN Security Council.",1,India,Serbia,India_Serbia
"In an interview for local media, H.E. Narinder Chauhan, Indian Ambassador to Serbia stated that ""Despite of Breakup of Yugoslavia our political relations continue to be exceptional, marked by a long tradition of mutual support on issues of core interest... It is a matter of immense satisfaction that Serbia also supports India’s international role.",1,India,Serbia,India_Serbia
"India sees Serbia as a reliable partner.""",1,India,Serbia,India_Serbia
Both Iceland and the U.S. are NATO allies.,2,Iceland,United States,Iceland_United States
"Albania–Israel relations  refer to the current, cultural and historical relations of Albania and Israel.",2,Albania,Israel,Albania_Israel
Albania has an embassy in Tel Aviv and Israel has an embassy in Tirana.,2,Albania,Israel,Albania_Israel
"Diplomatic relations between the countries were established on August 19, 1991.",1,Albania,Israel,Albania_Israel
"
Albania has recognized Israel as a state since April 19, 1949.",1,Albania,Israel,Albania_Israel
"Relations are today cordial and cooperative, with particularly strong security cooperation only after the 2012 attack on the US liaison office or mission in Benghazi.",1,Libya,United States,Libya_United States
"Furthermore, a Gallup poll conducted in March and April 2012 found that Libyans had ""among the highest approval"" of US leadership in the entire Middle East and North Africa region.",1,Libya,United States,Libya_United States
"However, for decades prior to the 2011 Libyan Civil War, the countries were not on good terms and engaged each other in several military skirmishes.",0,Libya,United States,Libya_United States
"The Libyan government of Muammar Gaddafi funded terror operations against the United States, most notably the 1986 Berlin discotheque bombing, to which the United States retaliated by bombing Libya, and the 1988 Lockerbie bombing.",0,Libya,United States,Libya_United States
"
When the Libyan civil war broke out in 2011, the United States took part in a military intervention in the conflict, aiding anti-Gaddafi rebels with air strikes against the Libyan Army.",0,Libya,United States,Libya_United States
"With the success of the revolution and the overthrow of Gaddafi, US President Barack Obama said that the United States was ""committed to the Libyan people"" and promised partnership in the development of a new Libyan state.",0,Libya,United States,Libya_United States
"According to a 2012 poll conducted by Gallup, 54% of Libyans approve of U.S. leadership, compared to only 22% and 19% respective approval for China and Russia's, and 75% of Libyans say they approved of NATO's military intervention in the civil war.",1,Libya,United States,Libya_United States
"The U.S. began bombing Libya again on August 1, 2016 with permission from the GNA, as part of the military intervention against ISIL.",0,Libya,United States,Libya_United States
"On April 20, 1974, China established diplomatic relations with Gabon.",1,China,Gabon,China_Gabon
"Russian–Serbian relations (Russian: российско-сербские отношения, Serbian: руско-српски односи) refer to bilateral foreign relations between Serbia and Russia.",2,Russia,Serbia,Russia_Serbia
The Ottoman Empire′s Principality of Serbia and the Russian Empire established official relations in 1838.,1,Russia,Serbia,Russia_Serbia
"After the dissolution of the USSR, the Socialist Federal Republic of Yugoslavia recognized Russia in December 1991 by the Decision of the Presidency on the recognition of the former republics of the USSR.",1,Russia,Serbia,Russia_Serbia
Serbia has an embassy in Moscow and Russia has an embassy in Belgrade and a liaison office to UNMIK in Pristina.,1,Russia,Serbia,Russia_Serbia
Serbia also announced to later open a consulate-general in Yekaterinburg.,1,Russia,Serbia,Russia_Serbia
"
Diplomatic relations between the Kingdom of Yugoslavia and the USSR were established on 24 June 1940, and Serbia and the Russian Federation recognize the continuity of all inter-State documents signed between the two countries.",1,Russia,Serbia,Russia_Serbia
"There are about 70 bilateral treaties, agreements and protocols signed in the past.",1,Russia,Serbia,Russia_Serbia
Serbia and the Russian Federation have signed and ratified 43 bilateral agreements and treaties in diverse areas of mutual cooperation so far.,1,Russia,Serbia,Russia_Serbia
"

According to censuses, there were 3,247 ethnic Russians living in Serbia (2011) and 3,510 Serbs with Russian citizenship (2010).",2,Russia,Serbia,Russia_Serbia
"
Serbia and Russia are both predominantly Slavic and Eastern Orthodox countries.",2,Russia,Serbia,Russia_Serbia
"Due to sharing a strong and privilege relationship, the relationship between Serbia and Russia is often coined as Russo–Serbian brotherhood, which both referred itself brother to brother.",1,Russia,Serbia,Russia_Serbia
Burkina Faso–China relations or Sino-Burkinabé relations refers to the diplomatic relations between Burkina Faso and China.,2,Burkina Faso,China,Burkina Faso_China
"
From 1961 until 1973, Burkina Faso recognized the Republic of China as the sole legitimate representative in China.",1,Burkina Faso,China,Burkina Faso_China
"
From September 15, 1973 to February 4, 1994, Ouagadougou and its five successive presidents maintained a modest relationship with Beijing (in terms of projects and financing).",1,Burkina Faso,China,Burkina Faso_China
"Opportunistic, this recognition came two years after the accession of so-called mainland China to the UN Security Council.",0,Burkina Faso,China,Burkina Faso_China
"In 1971, Burkina Faso (then still ""Upper Volta"") opposed with the United States to the Resolution 2758 of the United Nations General Assembly of October 25, 1971.",1,Burkina Faso,China,Burkina Faso_China
"Maurice Yaméogo (president from 1959 to 1966) had however, maintained relations with Beijing before the formalization of bilateral relations, that is to say during the Taiwanese-Burkinabe cooperation.",1,Burkina Faso,China,Burkina Faso_China
But Burkina Faso is the only African state to have twice recognized the Republic of China: in 1964 and in 1994.,1,Burkina Faso,China,Burkina Faso_China
"
At the beginning of 1994, Ouagadougou faced numerous fiscal and economic difficulties - including the Structural Adjustment Program (SAP) implemented since March 1991 or the devaluation of the CFA franc.",2,Burkina Faso,China,Burkina Faso_China
"Burkina Faso is desperate for foreign financing, preferably non-Western.",2,Burkina Faso,China,Burkina Faso_China
"In any case, China does not seem willing to offer it, although Compaore was the first African leader to visit China after Tiananmen.",0,Burkina Faso,China,Burkina Faso_China
"The envisaged impacts of the currency depreciation and the general economic situation of the country incite the Burkinabè head of State to choose the only partner able to finance quickly and unconditionally - except his recognition - his future ""national commitments"": Taiwan.",0,Burkina Faso,China,Burkina Faso_China
"This opportunity, to which is added a certain number of interests of which at least one would be personal, also presents the advantage of seeing a ""new"" actor contributing, indirectly at least, to the second part of the first.",2,Burkina Faso,China,Burkina Faso_China
official mandate (1991-1998).,2,Burkina Faso,China,Burkina Faso_China
"
As a result, Taiwan helped finance the political program of the former Burkinabe leader who received between 40 and 50 million dollars from Taiwan to recognize the Republic of China to the detriment of the People's Republic of China.",0,Burkina Faso,China,Burkina Faso_China
"On 24 May 2018, Burkina Faso again cut ties with the Republic of China and two days later, on 26 May, Burkina Faso re-established diplomatic relations with the People's Republic of China.",1,Burkina Faso,China,Burkina Faso_China
The countries have a very long history together.,2,Norway,Sweden,Norway_Sweden
They were both part of the Kalmar Union between 1397 and 1523.,2,Norway,Sweden,Norway_Sweden
"The countries established diplomatic relations in 1905, after the dissolution of the union between them in 1905.",1,Norway,Sweden,Norway_Sweden
"
Sweden has an embassy in Oslo and 14 consulates, in Ålesund, Arendal, Bergen, Bodø, Hamar, Hammerfest, Kirkenes, Mandal, Moss, Narvik, Porsgrunn, Stavanger, Tromsø and Trondheim.",1,Norway,Sweden,Norway_Sweden
"Norway has an embassy in Stockholm and three consulates, in Gothenburg, Malmö and Sundsvall.",1,Norway,Sweden,Norway_Sweden
"
Both countries are full members of the Council of Europe and the Nordic Council.",2,Norway,Sweden,Norway_Sweden
